ticker,close,date,high,low,month,open,volume
WIPRO,405.6,09-10-2023 05:30,411,403.4,2023-10,404.2,3015225
TECHM,1212.65,09-10-2023 05:30,1227.75,1202.15,2023-10,1203.25,1451064
NTPC,234.7,09-10-2023 05:30,236.3,230.5,2023-10,233.85,10659145
HINDUNILVR,2511.3,09-10-2023 05:30,2516.5,2481,2023-10,2485,1468771
APOLLOHOSP,5047.3,09-10-2023 05:30,5066,4987.05,2023-10,5000,176296
M&M,1515.2,09-10-2023 05:30,1541.25,1514,2023-10,1540,2123175
GRASIM,1881.52,09-10-2023 05:30,1889.39,1867.67,2023-10,1882.57,344554
ICICIBANK,938.6,09-10-2023 05:30,942.05,936.3,2023-10,940.25,6725306
ADANIENT,2442.6,09-10-2023 05:30,2459.7,2411.3,2023-10,2440,1408224
ADANIPORTS,790.05,09-10-2023 05:30,818.8,785,2023-10,815,5994282
BEL,135.75,09-10-2023 05:30,137.6,135.05,2023-10,136.2,10489249
BAJAJFINSV,1621.55,09-10-2023 05:30,1628,1606.6,2023-10,1617.15,1712235
EICHERMOT,3445.6,09-10-2023 05:30,3476,3401,2023-10,3420.2,471285
COALINDIA,287.8,09-10-2023 05:30,288.95,283.05,2023-10,286.05,4647845
MARUTI,10244.8,09-10-2023 05:30,10334.4,10184,2023-10,10250,230083
INDUSINDBK,1428.55,09-10-2023 05:30,1445,1410,2023-10,1420.1,1613546
ASIANPAINT,3152.8,09-10-2023 05:30,3163,3132.7,2023-10,3140.05,700012
TATASTEEL,123.85,09-10-2023 05:30,124.9,122.6,2023-10,124.8,21457836
HDFCLIFE,615.15,09-10-2023 05:30,629.55,613.35,2023-10,625,3308557
DRREDDY,1098.97,09-10-2023 05:30,1105.47,1080.03,2023-10,1082.01,2368110
SUNPHARMA,1123.05,09-10-2023 05:30,1133.8,1109,2023-10,1111,1080276
KOTAKBANK,1719.3,09-10-2023 05:30,1733.8,1717.05,2023-10,1730,1839513
SHRIRAMFIN,1820.9,09-10-2023 05:30,1840.85,1803.65,2023-10,1840.05,1070824
NESTLEIND,2288.19,09-10-2023 05:30,2298.08,2280,2023-10,2281.21,237550
ONGC,181.7,09-10-2023 05:30,184.7,181.25,2023-10,182.9,14622727
CIPLA,1159.5,09-10-2023 05:30,1166.85,1151.65,2023-10,1159,822110
BPCL,170,09-10-2023 05:30,170.83,168.08,2023-10,170.5,8740080
BRITANNIA,4522.5,09-10-2023 05:30,4535,4493.5,2023-10,4511,255764
SBILIFE,1277.25,09-10-2023 05:30,1290.75,1272,2023-10,1278.1,1345177
HINDALCO,469.8,09-10-2023 05:30,473.5,464.6,2023-10,472.45,2681298
HEROMOTOCO,2955.1,09-10-2023 05:30,3049.95,2923.95,2023-10,3021.1,976306
AXISBANK,996.25,09-10-2023 05:30,999.7,988.25,2023-10,994.8,6823214
HDFCBANK,1516.25,09-10-2023 05:30,1530,1512,2023-10,1528,8227486
BAJAJ-AUTO,5007.3,09-10-2023 05:30,5068.7,4957.05,2023-10,4957.05,244083
SBIN,591.65,10-10-2023 05:30,595,585.75,2023-10,587,10373508
BAJFINANCE,8083.6,10-10-2023 05:30,8135,8021,2023-10,8055,965024
TITAN,3269.2,10-10-2023 05:30,3299.2,3259.3,2023-10,3295,633934
ITC,444.4,10-10-2023 05:30,444.85,440.45,2023-10,440.45,5014758
TCS,3628.9,10-10-2023 05:30,3648,3601.35,2023-10,3640.05,1848148
LT,3076,10-10-2023 05:30,3099,3072.15,2023-10,3073.85,1551789
TATACONSUM,877.84,10-10-2023 05:30,881.44,870.92,2023-10,874.13,859825
RELIANCE,1154.2,10-10-2023 05:30,1158.95,1151.88,2023-10,1153.28,10236032
HCLTECH,1261.8,10-10-2023 05:30,1264.75,1248.2,2023-10,1255.55,1532394
JSWSTEEL,771.9,10-10-2023 05:30,774.2,757.3,2023-10,759.65,1351582
ULTRACEMCO,8158.3,10-10-2023 05:30,8186.35,8105,2023-10,8147.8,187020
POWERGRID,197.95,10-10-2023 05:30,198.55,195.7,2023-10,196.25,7440527
INFY,1495.15,10-10-2023 05:30,1497,1469.1,2023-10,1483.9,5688951
TRENT,2050.8,10-10-2023 05:30,2089.75,2047.1,2023-10,2089.75,351329
AIRTEL,948.35,10-10-2023 05:30,954.05,921.05,2023-10,924.55,7897875
TATAMOTORS,630.55,10-10-2023 05:30,632.5,617.6,2023-10,620,9833429
WIPRO,407.75,10-10-2023 05:30,408.75,406.2,2023-10,406.4,2564007
TECHM,1227.75,10-10-2023 05:30,1231.45,1213,2023-10,1215.2,1503359
NTPC,235.9,10-10-2023 05:30,236.85,233.75,2023-10,234.9,11665907
HINDUNILVR,2516.2,10-10-2023 05:30,2520.85,2503.35,2023-10,2512.2,1092373
APOLLOHOSP,5066.7,10-10-2023 05:30,5084.55,5033,2023-10,5068.95,202645
M&M,1537.85,10-10-2023 05:30,1543.85,1519.2,2023-10,1521.45,1956653
GRASIM,1911.3,10-10-2023 05:30,1914.89,1879.03,2023-10,1885.45,355903
ICICIBANK,951.2,10-10-2023 05:30,957.5,940.35,2023-10,940.4,11452715
ADANIENT,2498.3,10-10-2023 05:30,2517.95,2443,2023-10,2443,1771910
ADANIPORTS,819.5,10-10-2023 05:30,823.7,800.55,2023-10,800.55,7591327
BEL,139.95,10-10-2023 05:30,141,136.5,2023-10,137.4,15593722
BAJAJFINSV,1633.1,10-10-2023 05:30,1643.95,1617,2023-10,1630,1453653
EICHERMOT,3458.75,10-10-2023 05:30,3474,3449.05,2023-10,3450.45,206646
COALINDIA,303.25,10-10-2023 05:30,303.9,287.8,2023-10,288.25,23283411
MARUTI,10375,10-10-2023 05:30,10417,10270.1,2023-10,10290,348342
INDUSINDBK,1420.55,10-10-2023 05:30,1436.35,1412.05,2023-10,1434,1874201
ASIANPAINT,3151.5,10-10-2023 05:30,3164.9,3140.05,2023-10,3150,847367
TATASTEEL,125.3,10-10-2023 05:30,125.9,123.75,2023-10,124.7,28745957
HDFCLIFE,621.25,10-10-2023 05:30,624.75,615.15,2023-10,616.1,4054232
DRREDDY,1095.71,10-10-2023 05:30,1097.4,1085.6,2023-10,1096.8,1519630
SUNPHARMA,1126.5,10-10-2023 05:30,1130.4,1119.8,2023-10,1122,1092093
KOTAKBANK,1756.1,10-10-2023 05:30,1768.7,1720.6,2023-10,1727.5,3368982
SHRIRAMFIN,1892.85,10-10-2023 05:30,1896.75,1815.2,2023-10,1840,1675512
NESTLEIND,2296.81,10-10-2023 05:30,2301.7,2282.53,2023-10,2296,396630
ONGC,183.5,10-10-2023 05:30,184.5,182.05,2023-10,182.3,11819690
CIPLA,1155.05,10-10-2023 05:30,1163.6,1150.5,2023-10,1160.1,822199
BPCL,170.2,10-10-2023 05:30,171.3,169.6,2023-10,170.03,3572978
BRITANNIA,4529.95,10-10-2023 05:30,4541.95,4503,2023-10,4522.2,222750
SBILIFE,1302.05,10-10-2023 05:30,1312.6,1279.8,2023-10,1285,1221002
HINDALCO,480.65,10-10-2023 05:30,484.8,467,2023-10,473,7863825
HEROMOTOCO,2976.8,10-10-2023 05:30,3003.1,2966,2023-10,2975,467743
AXISBANK,1012.25,10-10-2023 05:30,1014.95,996.5,2023-10,999.9,5728499
HDFCBANK,1524.85,10-10-2023 05:30,1529,1515.2,2023-10,1520.55,16633146
BAJAJ-AUTO,5037.5,10-10-2023 05:30,5064,5002.2,2023-10,5007.3,307502
SBIN,588.35,11-10-2023 05:30,597,587.6,2023-10,596.9,14220119
BAJFINANCE,8101.95,11-10-2023 05:30,8173,8095.45,2023-10,8139.8,712372
TITAN,3280.5,11-10-2023 05:30,3296,3264,2023-10,3289.7,546575
ITC,448.25,11-10-2023 05:30,449.45,444.8,2023-10,447.2,7651513
TCS,3609.9,11-10-2023 05:30,3650,3605,2023-10,3650,2426417
LT,3088.7,11-10-2023 05:30,3110,3084.4,2023-10,3090,2066921
TATACONSUM,877.49,11-10-2023 05:30,886.19,875.32,2023-10,884.01,1049520
RELIANCE,1172.53,11-10-2023 05:30,1174.85,1156.5,2023-10,1157.22,9814118
HCLTECH,1245.6,11-10-2023 05:30,1274.45,1241,2023-10,1266,2186131
JSWSTEEL,777.25,11-10-2023 05:30,782.55,774.55,2023-10,776,1841618
ULTRACEMCO,8343,11-10-2023 05:30,8390,8179.2,2023-10,8195.95,439622
POWERGRID,198.5,11-10-2023 05:30,199.15,197.35,2023-10,197.35,10031916
INFY,1494.4,11-10-2023 05:30,1518.25,1481.45,2023-10,1497,7220129
TRENT,2101.3,11-10-2023 05:30,2114.8,2055,2023-10,2058.45,729470
AIRTEL,955.6,11-10-2023 05:30,956.8,948,2023-10,948.5,5645289
TATAMOTORS,634,11-10-2023 05:30,637.8,632.6,2023-10,633,7701931
WIPRO,421.15,11-10-2023 05:30,423.95,409,2023-10,409,9546114
TECHM,1231.6,11-10-2023 05:30,1238.9,1222,2023-10,1230.1,1622663
